Date,House_Price_Index(S&P/Case-Shiller),Mortgage_Rate (30 yers),Personal_Income,Resident_Population,Unemployment_Rate,GDP,Crime_Rate,Percent_With_Mortgage_Debt,Median_Debt,Percent_With_Severely_Delinquent_Debt,New_Structures,Economic_Conditions_Index,CPI all items less shelter
11/1/2013,132.58258,4.26,49866,6889.769,5.5,415238.962,663.7371,38.10%,128464,2.70%,2514,4.3,224.78
12/1/2013,132.83697,4.46,49866,6889.769,5.2,415238.962,663.7371,38.10%,128464,2.70%,2690,4.06,224.78
1/1/2014,132.67138,4.43,49866,6889.769,5.6,415238.962,664.6516,38.40%,128290,2.60%,3133,4.35,224.78
2/1/2014,133.00006,4.3,50670,7042.566,5.6,435857.522,664.6516,38.40%,128290,2.60%,3730,4.66,220.064
3/1/2014,134.5501,4.34,50670,7042.566,5.4,435857.522,664.6516,38.40%,128290,2.60%,2805,4.95,220.064
4/1/2014,136.72981,4.34,50670,7042.566,4.7,435857.522,664.6516,37.70%,128750,2.40%,5089,5.22,220.064
5/1/2014,138.54965,4.19,50670,7042.566,5,435857.522,664.6516,37.70%,128750,2.40%,3693,5.01,220.064
6/1/2014,140.15289,4.16,50670,7042.566,5.3,435857.522,664.6516,37.70%,128750,2.40%,3349,4.63,220.064
7/1/2014,141.22097,4.13,50670,7042.566,5.5,435857.522,664.6516,37.50%,128819,2.30%,2875,4.46,220.064
8/1/2014,142.03619,4.12,50670,7042.566,5.3,435857.522,664.6516,37.50%,128819,2.30%,3434,4.69,220.064
9/1/2014,142.40273,4.16,50670,7042.566,4.9,435857.522,664.6516,37.50%,128819,2.30%,2668,5.02,220.064
10/1/2014,142.61977,4.04,50670,7042.566,4.6,435857.522,664.6516,37.20%,130039,2.30%,3610,5.22,220.064
11/1/2014,142.78123,4,50670,7042.566,4.4,435857.522,664.6516,37.20%,130039,2.30%,1943,5.07,220.064
12/1/2014,142.8462,3.86,50670,7042.566,4,435857.522,664.6516,37.20%,130039,2.30%,4316,5.02,220.064
1/1/2015,143.4478,3.67,50670,7042.566,4.5,435857.522,694.1751,37.10%,130627,2.10%,3097,4.51,220.064
2/1/2015,144.42915,3.71,51428,7194.758,4.2,453858.011,694.1751,37.10%,130627,2.10%,4795,3.97,219.736
3/1/2015,147.16687,3.77,51428,7194.758,4.1,453858.011,694.1751,37.10%,130627,2.10%,3917,3.63,219.736
4/1/2015,148.80297,3.67,51428,7194.758,3.7,453858.011,694.1751,36.30%,130570,2.00%,4145,4.01,219.736
5/1/2015,150.26878,3.84,51428,7194.758,4,453858.011,694.1751,36.30%,130570,2.00%,3185,4.01,219.736
6/1/2015,151.66958,3.98,51428,7194.758,4.3,453858.011,694.1751,36.30%,130570,2.00%,5220,4.02,219.736
7/1/2015,153.56296,4.05,51428,7194.758,4.3,453858.011,694.1751,36.40%,131480,1.90%,4378,4.09,219.736
8/1/2015,154.67285,3.91,51428,7194.758,4.1,453858.011,694.1751,36.40%,131480,1.90%,5539,3.73,219.736
9/1/2015,155.26289,3.89,51428,7194.758,4,453858.011,694.1751,36.40%,131480,1.90%,4683,3.53,219.736
10/1/2015,155.79351,3.8,51428,7194.758,3.9,453858.011,694.1751,36.20%,133259,1.90%,4979,3.6,219.736
