,Date,S&P/Case-Shiller CA-San Francisco Home Price Index,Condo Price Index for San Francisco,Consumer Price Index for All Urban Consumers: Rent,Consumer Price Index for All Urban Consumers: All Items(CBSA),"Total Gross Domestic Product, Millions of Dollars, Annual(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,"Per Capita Personal Income,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Unemployment Rate(MSA),All-Transactions House Price Index（MSAD）,Consumer Price Index for All Urban Consumers: Housing（CBSA）,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent（CBSA）,"Economic Conditions Index,percent（MSA）",New Private Housing Structures Authorized by Building Permits（MSA）
108,1996-01-01,66.877716266877000,58.658366983961000,171.600,152.900,,,,,34895,,5.3,100.76,155.600,184.000,5.89,801.00664855129000
109,1996-02-01,66.904028097031000,58.999730610414000,171.700,153.200,,,,,,,4.9,,155.900,184.400,5.69,585.72312114423800
110,1996-03-01,66.807687060368000,58.359033309748000,172.000,152.900,,,,,,,4.8,,153.100,184.700,5.33,651.72175032366200
111,1996-04-01,66.691687163337000,57.938183807479000,172.200,153.900,,,,,,,4.7,100.76,153.700,184.800,5.21,857.06474847881700
112,1996-05-01,66.784225555543000,57.351471428163000,172.700,155.100,,,,,,,4.7,,156.800,185.300,5.69,1021.40259261708000
113,1996-06-01,67.015614036408000,58.051925884057000,173.700,155.200,,,,,,,4.6,,157.300,186.200,6.09,782.24127574010300
114,1996-07-01,67.216140335798000,58.582296018347000,174.700,155.900,,,,,,,5.1,102.02,158.700,187.200,5.36,1118.80560009492000
115,1996-08-01,67.544701730830000,59.350085288881000,175.600,155.600,,,,,,,4.6,,158.900,187.600,5.21,766.24508128860700
116,1996-09-01,67.795879104750000,59.955894360227000,176.100,156.300,,,,,,,4.5,,159.200,187.500,4.84,775.57220299060100
117,1996-10-01,68.260228042133000,60.199934647773000,177.200,156.900,,,,,,,4.2,103.51,159.900,188.200,5.19,1126.00699686343000
118,1996-11-01,68.935062996994000,61.054799356279000,177.600,156.900,,,,,,,4.0,,160.000,188.900,5.45,751.22659542699500
119,1996-12-01,69.207169831999000,61.580434919637000,178.400,156.000,,,,,,,3.7,,159.800,189.400,5.44,725.67926188316600
120,1997-01-01,69.638624205714000,62.511630223726000,179.400,157.000,,,,,36693,,4.3,105.06,161.200,190.600,6.48,876.12390929076900
121,1997-02-01,69.835337472735000,62.836749587729000,179.500,157.900,,,,,,,4.1,,161.700,191.000,6.67,952.73220356494800
122,1997-03-01,70.636412802408000,63.026138782000000,180.700,159.200,,,,,,,4.0,,162.700,192.800,6.20,1353.70302898222000
123,1997-04-01,71.262603771208000,63.620670135108000,181.800,159.600,,,,,,,3.8,108.01,163.200,193.600,5.88,1086.37759373504000
124,1997-05-01,71.791537166626000,64.165149677190000,182.800,159.800,,,,,,,3.8,,164.500,194.600,4.92,900.09654630131600
125,1997-06-01,72.310462034816000,65.474781140775000,183.600,160.000,,,,,,,4.2,,165.100,195.500,4.25,1146.09993546132000
126,1997-07-01,72.804282702768000,66.393601511485000,184.700,160.600,,,,,,,4.3,111.66,165.800,196.800,4.17,950.98717767701300
127,1997-08-01,73.573608346921000,67.526457500093000,186.600,161.200,,,,,,,4.2,,167.000,198.800,4.23,1154.96324557592000
128,1997-09-01,74.115102751662000,68.428895007885000,188.800,161.600,,,,,,,4.1,,167.600,200.300,4.86,1347.73479936204000
129,1997-10-01,75.037768166368000,69.179586031333000,190.000,162.500,,,,,,,3.6,114.38,169.000,201.500,4.71,1241.70557299422000
130,1997-11-01,75.675430018903000,69.927926422125000,190.900,162.600,,,,,,,3.4,,169.300,202.500,4.63,1124.26349753539000
131,1997-12-01,76.499702774984000,70.381674126893000,192.600,162.600,,,,,,,3.1,,169.700,203.600,5.11,1152.88247378361000
132,1998-01-01,77.202176882141000,71.649089394275000,193.100,,,,,,40051,,3.8,117.40,,204.000,4.35,480.29066698576800
133,1998-02-01,77.677717525586000,72.695272008123000,193.700,163.200,,,,,,,3.6,,169.500,204.500,3.97,1292.04083306205000
134,1998-03-01,78.306592484601000,74.026613579864000,194.700,,,,,,,,3.7,,,205.700,4.71,1287.70134770049000
135,1998-04-01,79.127858894094000,74.713023992937000,196.500,164.600,,,,,,,3.3,121.29,172.600,207.400,5.79,1299.94118020109000
136,1998-05-01,80.215100624377000,76.515447074536000,198.400,,,,,,,,3.3,,,208.900,5.20,1040.65624007362000
137,1998-06-01,81.391910073277000,77.149271096053000,198.900,165.500,,,,,,,3.7,,174.400,210.200,5.03,1150.46769378486000
138,1998-07-01,82.382300527983000,78.234992321448000,200.600,,,,,,,,3.9,125.92,,211.600,4.73,1542.59005449565000
139,1998-08-01,83.516936840778000,78.568761500456000,201.700,166.600,,,,,,,3.8,,176.100,212.700,4.33,1162.94714323552000
