,Date,Consumer Price Index for All Urban Consumers: Housing(CBSA),All-Transactions House Price Index(MSAD),S&P/Case-Shiller NY-New York Home Price Index,Consumer Price Index for All Urban Consumers: All Items(CBSA),"New Private Housing Structures Authorized by Building Permits, Units(MSA)","Economic Conditions Index, percent(MSA)","Civilian Labor Force, persons(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Per Capita Personal Income, Dollars(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Consumer Price Index for All Urban Consumers: Rent(CBSA),Unemployment Rate(MSA),"Total Gross Domestic Product, Millions of Dollars(MSA)"
73,1982-02-01,91.400,,,93.100,,,,,,,,,,92.500,,
74,1982-03-01,90.000,,,92.500,,,,,,,,,,92.600,,
75,1982-04-01,90.800,42.15,,92.800,,,,,,,,,,92.600,,
76,1982-05-01,92.700,,,93.700,,,,,,,,,,93.200,,
77,1982-06-01,95.900,,,95.700,,,,,,,,,,93.000,,
78,1982-07-01,96.000,43.34,,95.900,,,,,,,,,,93.600,,
79,1982-08-01,96.700,,,96.300,,,,,,,,,,94.600,,
80,1982-09-01,97.300,,,97.100,,,,,,,,,,95.500,,
81,1982-10-01,100.000,43.50,,98.400,,,,,,,,,,96.900,,
82,1982-11-01,99.700,,,98.100,,,,,,,,,,96.900,,
83,1982-12-01,98.100,,,97.500,,,,,,,100.000,,,97.700,,
84,1983-01-01,98.400,44.36,,97.800,,,,,,,100.000,15629,,98.200,,
85,1983-02-01,98.400,,,98.000,,,,,,,100.100,,,98.500,,
86,1983-03-01,98.300,,,98.100,,,,,,,99.500,,,99.000,,
87,1983-04-01,99.700,45.57,,99.100,,,,,,,102.600,,,99.800,,
88,1983-05-01,100.000,,,99.400,,,,,,,103.000,,,99.700,,
89,1983-06-01,100.400,,,99.700,,,,,,,103.000,,,100.200,,
90,1983-07-01,100.800,48.10,,100.000,,,,,,,103.400,,,100.500,,
91,1983-08-01,100.400,,,100.100,,,,,,,102.600,,,100.600,,
92,1983-09-01,100.900,,,101.000,,,,,,,103.100,,,101.100,,
93,1983-10-01,101.200,49.89,,101.300,,,,,,,103.800,,,101.500,,
94,1983-11-01,101.800,,,101.700,,,,,,,105.200,,,102.000,,
95,1983-12-01,102.000,,,101.800,,,,,,,105.600,,,102.200,,
96,1984-01-01,102.700,51.48,,102.800,,,,,,,106.500,17216,,103.100,,
97,1984-02-01,103.500,,,103.400,,,,,,,107.400,,,103.300,,
98,1984-03-01,103.300,,,103.700,,,,,,,106.900,,,103.400,,
99,1984-04-01,104.000,54.41,,104.100,,,,,,,107.300,,,104.600,,
100,1984-05-01,103.800,,,104.100,,,,,,,107.300,,,105.000,,
101,1984-06-01,104.100,,,104.300,,,,,,,107.300,,,104.800,,
102,1984-07-01,104.900,56.40,,104.800,,,,,,,108.100,,,105.200,,
103,1984-08-01,105.500,,,105.500,,,,,,,109.400,,,106.100,,
104,1984-09-01,106.400,,,106.200,,,,,,,111.200,,,106.400,,
105,1984-10-01,105.800,59.38,,106.100,,,,,,,110.600,,,106.700,,
106,1984-11-01,106.900,,,106.500,,,,,,,112.300,,,108.400,,
107,1984-12-01,106.600,,,106.500,,,,,,,112.200,,,108.700,,
108,1985-01-01,106.500,62.08,,106.700,,,,,,,111.800,18376,,108.600,,
109,1985-02-01,107.100,,,107.300,,,,,,,112.800,,,108.600,,
110,1985-03-01,106.900,,,107.500,,,,,,,112.200,,,108.900,,
111,1985-04-01,107.400,65.17,,107.900,,,,,,,112.300,,,109.900,,
112,1985-05-01,108.100,,,108.100,,,,,,,113.200,,,110.600,,
113,1985-06-01,108.400,,,108.300,,,,,,,114.100,,,110.700,,
114,1985-07-01,108.500,67.90,,108.400,,,,,,,115.100,,,111.400,,
115,1985-08-01,109.600,,,109.200,,,,,,,117.200,,,112.700,,
116,1985-09-01,109.600,,,109.600,,,,,,,117.200,,,112.200,,
117,1985-10-01,109.400,71.26,,109.800,,,,,,,116.500,,,113.100,,
118,1985-11-01,111.200,,,110.700,,,,,,,118.500,,,115.300,,
119,1985-12-01,111.500,,,111.000,,,,,,,119.300,,,115.200,,
120,1986-01-01,112.000,75.13,,111.800,,,,,,,120.500,19590,,115.900,,
121,1986-02-01,111.600,,,111.500,,,,,,,121.200,,,116.100,,
122,1986-03-01,112.200,,,111.500,,,,,,,124.300,,,116.400,,
123,1986-04-01,112.000,80.11,,111.200,,,,,,,123.300,,,117.800,,
124,1986-05-01,111.100,,,110.900,,,,,,,122.300,,,117.900,,
125,1986-06-01,112.700,,,111.700,,,,,,,123.700,,,119.100,,
126,1986-07-01,113.700,85.14,,112.500,,,,,,,126.000,,,122.100,,
127,1986-08-01,113.900,,,112.700,,,,,,,126.300,,,122.300,,
128,1986-09-01,113.700,,,113.000,,,,,,,125.100,,,121.300,,
129,1986-10-01,113.600,89.07,,113.400,,,,,,,126.100,,,123.000,,
130,1986-11-01,113.100,,,113.300,,,,,,,125.900,,,122.800,,
131,1986-12-01,114.000,,,113.800,,,,,,,127.700,,,123.600,,
132,1987-01-01,115.200,93.92,74.67844016160800,114.700,,,,,,,128.200,21015,,125.400,,
133,1987-02-01,115.600,,76.04368700313400,115.300,,,,,,,128.600,,,125.600,,
134,1987-03-01,115.400,,77.23707531310500,115.800,,,,,,,128.600,,,125.300,,
135,1987-04-01,115.800,98.89,78.28152687558200,116.600,,,,,,,129.400,,,125.600,,
136,1987-05-01,117.100,,79.67533059395700,117.300,,,,,,,132.000,,,126.900,,
137,1987-06-01,118.000,,80.83980159022500,117.800,,,,,,,132.700,,,127.400,,
138,1987-07-01,118.300,102.53,81.69506698883200,117.900,,,,,,,132.700,,,128.600,,
139,1987-08-01,119.500,,82.22005795743600,118.900,,,,,,,135.000,,,129.200,,
140,1987-09-01,119.800,,82.38397594988100,119.800,,,,,,,135.500,,,129.400,,
141,1987-10-01,120.000,104.72,83.15640609510000,120.200,,,,,,,138.200,,,130.300,,
142,1987-11-01,120.300,,83.67733133226300,120.500,,,,,,,138.500,,,130.200,,
143,1987-12-01,121.500,,84.50134780794800,120.600,,,,,,,141.100,,,131.400,,
144,1988-01-01,123.200,106.89,84.32173033799000,121.300,3908.1731657858100,,,,,,143.100,23146,,132.700,,
145,1988-02-01,122.800,,84.49117858552600,121.100,3494.9646671539200,,,,,,141.900,,,132.700,,
146,1988-03-01,123.000,,84.47672472230000,121.500,4982.3428010509900,,,,,,142.600,,,132.500,,
147,1988-04-01,123.700,108.88,84.69031883261100,122.600,4796.3892673406500,,,,,,142.800,,,132.600,,
148,1988-05-01,124.300,,84.76242708438700,122.700,4158.0041807143100,,,,,,144.100,,,133.300,,
149,1988-06-01,124.900,,84.59877172814000,123.100,4167.6538879935400,,,,,,144.800,,,133.900,,
150,1988-07-01,125.800,108.77,84.50351963032500,123.600,3865.3502288750400,,,,,,146.000,,,135.400,,
151,1988-08-01,126.000,,84.59356456193100,124.200,3295.6766758592000,,,,,,146.700,,,135.600,,
152,1988-09-01,126.900,,84.57622095303500,126.000,3674.3617099956800,,,,,,147.800,,,136.600,,
153,1988-10-01,126.700,108.42,84.47921486761800,126.200,3366.0363897650700,,,,,,148.700,,,136.700,,
154,1988-11-01,126.900,,84.49091277411700,125.900,3595.3367664582700,,,,,,149.500,,,137.600,,
155,1988-12-01,127.100,,84.37502816418800,126.000,3435.8129198761000,,,,,,149.600,,,137.400,,
156,1989-01-01,128.200,108.65,84.48241826793100,127.000,3703.6314476586700,,,,,,150.400,24914,,138.700,,
157,1989-02-01,128.800,,84.26598824970600,127.600,2926.1238210555400,,,,,,150.300,,,139.000,,
158,1989-03-01,129.600,,84.19466161862100,128.900,3827.6990601005800,,,,,,150.500,,,139.400,,
159,1989-04-01,130.200,108.11,83.88087060196300,129.500,3537.5244541941000,,,,,,151.700,,,139.700,,
160,1989-05-01,131.100,,83.49424862531300,130.200,3540.6121936917300,,,,,,153.700,,,141.100,,
161,1989-06-01,132.200,,82.94658527935200,130.500,3892.1658451223300,,,,,,154.200,,,141.900,,
162,1989-07-01,132.700,108.23,82.17128637476800,130.600,2468.3869489109900,,,,,,155.300,,,142.500,,
163,1989-08-01,132.700,,81.93614834383000,130.900,3118.0685397148800,,,,,,156.100,,,142.800,,
164,1989-09-01,133.000,,81.53717607735200,132.200,2849.0335336140100,,,,,,157.100,,,144.000,,
165,1989-10-01,133.700,108.27,81.78816114249300,132.800,3268.5537717078100,,,,,,158.500,,,145.200,,
166,1989-11-01,134.500,,81.55034549502200,133.200,2089.4740700616800,,,,,,161.200,,,146.500,,
167,1989-12-01,135.300,,81.34384680645600,133.300,2529.5114687995800,,,,,,161.000,,,147.000,,
168,1990-01-01,136.300,106.87,81.03500328091800,135.100,2897.4292167454900,,8706055,,,,159.800,26612,,147.100,5.0,
169,1990-02-01,135.800,,80.98286107274800,135.300,2405.6200106969400,-0.52,8705549,,,,159.300,,,146.800,5.0,
170,1990-03-01,137.500,,80.80771442570700,136.600,1826.1701952489000,-1.63,8704786,,,,162.900,,,148.200,5.0,
171,1990-04-01,138.200,104.74,80.21306971658900,137.300,1856.5498316063600,-3.94,8703775,,,,164.100,,,149.000,5.0,
172,1990-05-01,138.300,,79.55356747068600,137.200,2075.7461877499400,-1.68,8703810,,,,165.100,,,150.100,5.0,
173,1990-06-01,138.300,,78.93322447063000,137.100,1719.5753189097700,-0.93,8705567,,,,164.300,,,150.100,5.1,
174,1990-07-01,140.300,103.73,78.29566605131800,138.400,1728.8352421203200,-1.49,8706445,,,,166.200,,,151.100,5.2,
175,1990-08-01,142.100,,77.55018300435100,140.000,2534.7458932626000,-1.79,8705799,,,,168.300,,,152.200,5.4,
176,1990-09-01,141.400,,76.67560321577200,140.800,1625.1621468432400,-3.48,8699836,,,,166.900,,,151.800,5.6,
177,1990-10-01,141.200,101.46,76.31226899131100,141.600,1522.5190814649000,-4.85,8687132,,,,166.800,,,152.200,5.8,
178,1990-11-01,140.800,,75.88182779919700,141.500,1502.1449490318500,-3.82,8669563,,,,165.800,,,152.800,6.1,
179,1990-12-01,141.100,,75.61630736753900,141.600,1647.9055647131400,-3.53,8650537,,,,166.700,,,153.100,6.2,
180,1991-01-01,143.600,100.94,74.74340913135100,143.000,1442.4515068699600,-5.20,8634065,,,,166.800,26426,,152.800,6.4,
181,1991-02-01,144.800,,74.10952487359300,143.600,1606.9127512395500,-3.62,8623275,,,,167.200,,,153.100,6.6,
182,1991-03-01,144.400,,73.57918283318300,143.400,1313.1092429641900,-3.35,8616922,,,,166.800,,,153.500,6.8,
183,1991-04-01,144.200,100.75,73.05444727501200,143.700,1702.4147954143800,-3.77,8612432,,,,168.200,,,154.500,7.0,
184,1991-05-01,144.400,,73.08762508329500,144.000,1629.4381453338800,-2.43,8607905,,,,170.000,,,154.800,7.1,
185,1991-06-01,145.500,,73.45791438747300,144.600,1534.8006721023300,-1.42,8601525,,,,171.400,,,155.300,7.2,
186,1991-07-01,147.400,100.28,73.91089357133900,145.200,1745.7133824526200,-1.89,8591569,,,,173.400,,,157.600,7.2,
187,1991-08-01,147.300,,74.24296782257300,145.400,1817.5490860161000,-1.00,8580140,,,,173.700,,,156.700,7.3,
188,1991-09-01,146.600,,74.38694895194200,145.800,1558.7590677904800,-0.45,8572279,,,,173.100,,,157.300,7.4,
189,1991-10-01,145.700,100.40,74.56342998978300,145.700,1763.2676047193200,-0.84,8570192,,,,172.700,,,157.200,7.6,
190,1991-11-01,147.200,,74.61713624055000,146.600,1692.1634844982000,-0.92,8573424,,,,175.300,,,157.400,7.8,
191,1991-12-01,147.400,,74.76801750635700,146.600,1731.2486943153400,-1.48,8579419,,,,174.900,,,157.400,8.0,
192,1992-01-01,148.300,101.53,74.75714854423200,147.300,2164.2833246998100,-1.38,8586560,,,,174.700,27894,,158.500,8.2,
193,1992-02-01,149.400,,74.81559116747600,148.000,1962.0921418614800,-1.55,8594820,,,,175.300,,,158.800,8.4,
194,1992-03-01,150.900,,74.95549492610500,149.100,1808.7440717845500,-1.48,8605077,,,,178.200,,,161.000,8.6,
195,1992-04-01,150.800,100.87,75.16757144519900,149.200,1556.0678943935600,-1.02,8616681,,,,179.400,,,160.700,8.8,
196,1992-05-01,150.200,,75.15159679646100,148.900,1594.3263220430900,-1.26,8625897,,,,178.100,,,160.200,9.0,
197,1992-06-01,151.600,,75.05673382613700,149.500,1821.7192610625500,-0.75,8630066,,,,178.300,,,160.000,9.2,
198,1992-07-01,152.400,101.40,74.96397425947800,149.900,1606.5801794766600,-0.04,8628679,,,,178.900,,,160.800,9.3,
199,1992-08-01,152.900,,75.10610663282000,150.800,1434.7838082443300,-0.44,8621668,,,,179.800,,,159.700,9.4,
200,1992-09-01,152.600,,75.08589931488200,151.400,1622.8607328673100,0.14,8610691,,,,179.900,,,160.300,9.4,
201,1992-10-01,152.600,101.87,75.05289529637100,152.100,1536.5351444933100,0.90,8599272,,,,182.200,,,162.100,9.3,
202,1992-11-01,152.600,,75.19315221701000,152.200,1526.2513023207500,0.49,8588796,,,,181.600,,,162.600,9.2,
203,1992-12-01,152.200,,75.40121116574300,151.900,1619.0417138942800,1.50,8579564,,,,181.500,,,162.800,9.1,
204,1993-01-01,153.500,101.48,75.74098727667900,153.000,1655.6614968678600,2.92,8572047,,,,182.400,28532,,162.900,9.0,
205,1993-02-01,153.800,,75.88738072297900,153.600,2097.7797827792600,2.09,8565229,,,,182.000,,,162.700,8.8,
206,1993-03-01,154.700,,75.98770285651400,154.100,1772.0633649500300,0.77,8560013,,,,182.600,,,164.000,8.6,
207,1993-04-01,154.600,102.02,76.06858870350300,154.000,1862.6088753728500,1.64,8556945,,,,182.800,,,164.300,8.5,
208,1993-05-01,154.700,,76.14312740436100,153.800,1855.5500658804000,1.72,8556519,,,,182.600,,,164.900,8.3,
209,1993-06-01,156.500,,76.33019992436100,154.200,1896.6986264837200,1.30,8558774,,,,184.300,,,166.100,8.3,
210,1993-07-01,156.700,102.38,76.31694981350900,154.300,2264.4553224807500,1.46,8561395,,,,184.200,,,166.100,8.2,
211,1993-08-01,157.200,,76.27555175922500,155.300,1828.4985571875400,1.45,8563213,,,,185.500,,,165.200,8.2,
212,1993-09-01,156.400,,76.33349722498300,155.300,2741.6373282230200,1.70,8564388,,,,184.600,,,164.600,8.1,
213,1993-10-01,156.200,102.72,76.50185046709400,155.500,2477.4706533616800,1.32,8565393,,,,184.900,,,165.000,8.1,
214,1993-11-01,155.600,,76.73839143755300,155.400,2550.5117707701400,1.30,8567189,,,,184.000,,,165.200,8.1,
215,1993-12-01,156.300,,76.80394511448400,155.600,3940.6635677776300,1.23,8569485,,,,185.200,,,166.200,8.0,
216,1994-01-01,157.100,102.59,76.84823092314900,156.000,1564.3278671978800,-0.16,8569968,,,,185.700,29273,,166.600,8.0,
217,1994-02-01,159.800,,76.91018125971800,157.400,1757.7472460751800,1.24,8566317,,,,190.000,,,168.100,7.8,
218,1994-03-01,160.300,,77.23951772052400,157.900,2587.8073802567600,3.17,8558569,,,,190.500,,,168.300,7.7,
219,1994-04-01,159.200,102.11,77.59430173296900,157.700,2521.7470624466700,4.34,8548756,,,,190.200,,,167.700,7.6,
220,1994-05-01,158.800,,77.96721674686600,157.300,2393.3493809593800,3.42,8540878,,,,189.300,,,168.200,7.4,
221,1994-06-01,159.500,,78.05827527239100,157.800,2776.8274668294300,2.82,8538085,,,,189.200,,,168.600,7.3,
222,1994-07-01,160.400,101.60,78.24129253368200,158.200,2647.6825924054300,2.71,8541564,,,,190.000,,,168.600,7.1,
223,1994-08-01,161.800,,78.34212840257500,159.100,2922.5447661556100,2.46,8549472,,,,192.800,,,169.800,7.0,
224,1994-09-01,160.900,,78.41461083508100,159.000,2565.2337615683800,2.01,8558920,,,,193.600,,,170.100,6.9,
225,1994-10-01,160.700,99.50,78.44565181530200,159.500,2520.9842325291400,1.70,8567495,,,,194.400,,,169.800,6.7,
226,1994-11-01,160.000,,78.38035212941000,159.400,2868.4807964647500,2.16,8574826,,,,193.800,,,169.700,6.6,
227,1994-12-01,159.700,,78.49056031264400,158.900,2670.5570098940500,1.95,8580791,,,,193.300,,,170.800,6.5,
228,1995-01-01,160.900,100.00,78.56928708681900,159.900,1983.2981427877400,1.71,8584827,,,,194.200,30869,,171.400,6.4,
229,1995-02-01,161.500,,78.78314557492100,160.300,1772.6289480330100,1.52,8587743,,,,194.200,,,171.700,6.5,
230,1995-03-01,162.000,,78.56712582969900,160.900,2760.7648614257900,1.10,8590684,,,,194.400,,,172.100,6.5,
231,1995-04-01,162.400,101.59,78.44575211126200,161.400,2348.0114840497600,0.35,8594498,,,,195.000,,,172.700,6.6,
232,1995-05-01,162.800,,78.43491222397300,161.800,2476.6062857005000,0.56,8600095,,,,195.800,,,173.200,6.7,
233,1995-06-01,163.900,,78.43181626140800,162.200,2151.0177794934300,0.48,8607119,,,,196.300,,,173.500,6.7,
234,1995-07-01,165.000,102.88,78.45318226241600,162.300,2022.7860680654300,-0.49,8615090,,,,196.900,,,173.900,6.7,
235,1995-08-01,165.000,,78.43677687318800,162.800,2313.9757747157200,1.59,8622554,,,,197.000,,,174.000,6.7,
236,1995-09-01,164.100,,78.50593275844000,163.200,2234.6048952253700,2.39,8627680,,,,197.000,,,174.200,6.7,
237,1995-10-01,164.200,102.99,78.67124512774500,163.600,2680.3599391754800,2.42,8631152,,,,197.600,,,174.500,6.7,
238,1995-11-01,164.400,,78.74480856969400,163.800,2760.7776932976300,1.45,8634498,,,,198.300,,,174.900,6.6,
239,1995-12-01,164.600,,78.85489945634700,163.700,2087.7797444147600,0.57,8641107,,,,198.700,,,175.200,6.6,
240,1996-01-01,166.600,104.65,78.95019528485200,164.800,1841.2048670075000,0.13,8654515,,,,199.300,32507,,175.600,6.7,
241,1996-02-01,166.900,,79.21841253003800,165.700,2103.6841900493700,3.34,8675261,,,,199.300,,,176.300,6.7,
242,1996-03-01,167.400,,79.50162266477300,166.500,2454.0943382055900,2.22,8700834,,,,199.700,,,176.500,6.7,
243,1996-04-01,166.400,104.53,79.60855295496700,166.000,2809.3477480645900,1.91,8727326,,,,199.700,,,176.700,6.7,
244,1996-05-01,166.700,,79.77581821296600,166.400,3466.4368071671500,3.07,8751759,,,,200.000,,,177.300,6.7,
245,1996-06-01,167.400,,79.36632992734400,166.500,2576.0442607171800,2.93,8773833,,,,200.000,,,177.800,6.6,
246,1996-07-01,168.400,103.76,79.43090487595300,166.700,3264.6340248296900,1.96,8795960,,,,200.900,,,178.900,6.5,
247,1996-08-01,168.900,,79.56291342289300,167.200,3790.7354801923000,2.51,8820820,,,,201.100,,,179.100,6.4,
248,1996-09-01,168.300,,79.75952960627300,168.200,2969.9136810494500,2.09,8847776,,,,201.600,,,179.400,6.5,
249,1996-10-01,168.200,104.07,79.89128321776700,168.200,3444.9389457990400,2.08,8874819,,,,202.500,,,179.800,6.5,
250,1996-11-01,168.200,,79.91657944872900,168.400,2988.7130339407600,1.91,8900405,,,,202.800,,,180.600,6.6,
251,1996-12-01,168.900,,80.19763523367200,168.500,3174.6273751931700,1.62,8923473,,,,203.100,,,181.000,6.7,
252,1997-01-01,169.800,104.69,80.43598953371500,169.100,3229.6219089848800,1.50,8943344,,,,203.000,34296,,181.200,6.8,
253,1997-02-01,170.900,,80.59488104738500,170.100,3313.6229470147800,2.25,8960466,,,,203.900,,,182.000,6.8,
254,1997-03-01,171.200,,80.58976511248700,170.700,2805.8816641722800,2.91,8975839,,,,204.500,,,182.600,6.7,
255,1997-04-01,170.500,105.73,80.67444212931200,170.200,3012.6642669214400,2.43,8991344,,,,204.700,,,183.100,6.7,
256,1997-05-01,170.200,,80.95413612498100,169.900,2829.1308461831100,2.20,9006002,,,,205.200,,,183.600,6.6,
257,1997-06-01,171.300,,81.39361118472200,170.300,2930.8206610603400,2.63,9017431,,,,205.900,,,184.000,6.6,
258,1997-07-01,172.500,106.94,81.77725282884800,170.800,3153.3149877257800,3.07,9024745,,,,206.900,,,184.600,6.5,
259,1997-08-01,172.700,,81.94290438103300,170.800,2499.0240462675600,2.92,9028752,,,,207.500,,,185.500,6.4,
260,1997-09-01,172.500,,82.06119031134700,171.700,3233.2296328800900,2.83,9031398,,,,207.800,,,185.700,6.3,
261,1997-10-01,172.600,108.02,82.34191383993100,172.300,2674.4443773569000,2.71,9034583,,,,208.600,,,186.400,6.2,
262,1997-11-01,172.700,,82.82154845680500,172.000,2666.1863313337100,2.89,9038768,,,,209.300,,,186.800,6.1,
263,1997-12-01,173.400,,83.27303383811600,171.900,3832.0984216816600,3.10,9044172,,,,210.200,,,187.500,6.0,
264,1998-01-01,174.000,110.14,83.73016857427600,172.100,3460.0626067491300,2.90,9049750,,,,210.800,36183,,187.900,6.0,
265,1998-02-01,174.500,,84.41217817298300,172.700,2861.7555605407700,2.46,9053297,,,,211.200,,,188.600,5.9,
266,1998-03-01,174.900,,84.94315268321200,173.000,2950.7309962296400,2.17,9051882,,,,211.500,,,188.800,5.8,
267,1998-04-01,174.700,111.49,85.41657141692600,173.000,2746.4644242703100,2.61,9045364,,,,211.700,,,188.800,5.6,
268,1998-05-01,174.800,,85.98712447294900,173.000,2694.7575574616100,2.61,9037221,,,,212.600,,,189.600,5.5,
269,1998-06-01,176.100,,86.48242457733500,173.100,3728.9924894068000,2.59,9031736,,,,213.300,,,190.200,5.4,
270,1998-07-01,176.800,113.07,87.16118159585400,173.600,3314.2268030007200,2.75,9031835,,,,213.800,,,190.800,5.3,
271,1998-08-01,177.100,,87.66588378043700,174.200,3294.9536057502000,1.92,9039727,,,,214.800,,,191.400,5.3,
272,1998-09-01,176.800,,88.22857937049200,174.400,3465.9935124354500,2.01,9056195,,,,215.000,,,191.800,5.3,
273,1998-10-01,177.100,114.14,88.73920366295600,174.800,5037.9547794456100,2.32,9078108,,,,215.700,,,192.500,5.3,
274,1998-11-01,177.200,,89.25960101590900,174.700,3552.4140897228400,2.31,9100820,,,,216.200,,,193.700,5.3,
275,1998-12-01,177.300,,89.55840018650800,174.700,3736.6111474433900,2.97,9119796,,,,216.800,,,194.200,5.2,
276,1999-01-01,177.700,116.41,89.85618877229900,175.000,3916.1560522405100,4.43,9132209,,,,217.000,37914,,194.400,5.2,
277,1999-02-01,178.400,,90.51220581381700,175.100,3892.1287226112900,3.13,9138799,,,,217.200,,,194.900,5.1,
278,1999-03-01,178.300,,91.28555714131500,175.500,4075.5110143735500,2.15,9141841,,,,217.300,,,195.300,5.1,
279,1999-04-01,178.500,118.72,92.27485257412500,176.000,3694.9903571485600,2.37,9143271,,,,217.800,,,195.500,5.1,
280,1999-05-01,178.400,,93.00047427870200,176.100,3514.7562094120700,1.51,9144779,,,,218.100,,,195.900,5.2,
281,1999-06-01,179.700,,94.03504644560800,176.800,4321.1242828223100,1.85,9148381,,,,218.300,,,195.900,5.2,
282,1999-07-01,180.400,123.38,94.93969633804900,177.200,3321.7907107702400,2.21,9156404,,,,218.700,,,196.500,5.2,
283,1999-08-01,180.400,,96.02420195569400,177.600,3981.2545597090600,2.19,9165475,,,,219.800,,,197.000,5.1,
284,1999-09-01,180.600,,96.79117337172400,178.200,3524.2321456593300,1.64,9174660,,,,219.900,,,197.300,5.0,
285,1999-10-01,180.500,125.93,97.59161822397000,178.900,2966.6820544947700,2.53,9181668,,,,220.100,,,198.300,4.9,
286,1999-11-01,181.200,,98.40007902740700,178.800,3674.3725001273600,2.98,9183041,,,,221.200,,,200.400,4.9,
287,1999-12-01,181.000,,99.35198077567200,178.600,3786.6217338546800,3.04,9182459,,,,222.000,,,201.300,4.9,
288,2000-01-01,182.900,129.67,100.33923115020800,179.300,4826.6302638142000,2.94,9216958,,,,223.500,41002,18352.743,202.500,4.5,
289,2000-02-01,184.800,,101.24065548732500,180.500,4281.2605536853100,2.60,9218580,,,,223.500,,,202.600,4.5,
290,2000-03-01,184.900,,102.06062877588100,181.500,4064.8019939233600,2.99,9220960,,,,223.400,,,203.200,4.5,
291,2000-04-01,184.200,133.60,103.13250171577900,181.400,4528.0744671817600,2.68,9218022,,,,223.600,,,203.000,4.5,
292,2000-05-01,183.900,,104.91586962109400,181.400,3541.8133226528900,1.63,9210437,,,,223.500,,,203.500,4.5,
293,2000-06-01,185.800,,106.06468444623500,182.000,3767.5539614655700,1.87,9199982,,,,224.100,,,204.300,4.4,
294,2000-07-01,187.500,137.90,107.02028046346600,182.800,3416.4683241376800,0.76,9188180,,,,224.200,,,205.600,4.4,
295,2000-08-01,186.800,,108.02473735881900,183.100,3104.0721640611300,1.48,9182419,,,,224.900,,,206.400,4.4,
296,2000-09-01,187.800,,108.82550408437100,184.400,4436.9801226837500,2.91,9184722,,,,225.900,,,207.800,4.4,
297,2000-10-01,187.700,140.31,109.78601165600600,184.600,3774.4002003389200,2.37,9194807,,,,226.500,,,208.300,4.3,
298,2000-11-01,188.500,,110.63671302829900,184.600,4534.5685689463300,2.12,9209589,,,,227.000,,,208.500,4.2,
299,2000-12-01,188.400,,111.83960845514500,184.200,3309.6340733876700,1.74,9223855,,,,227.300,,,209.200,4.2,
300,2001-01-01,189.700,144.01,112.93628194163500,184.900,3222.2615547908700,0.47,9232579,,,,227.300,42296,18490.029,209.900,4.1,948779.075
301,2001-02-01,189.800,,114.25193999220500,185.300,5319.2493385484800,0.67,9233814,,,,228.000,,,211.300,4.1,
302,2001-03-01,191.300,,115.31417956461100,186.400,3935.2595721136900,0.07,9227816,,,,230.300,,,211.800,4.1,
303,2001-04-01,191.600,147.38,116.36491309449000,186.600,3817.6145725058000,-0.43,9217781,,,,231.400,,,212.500,4.2,
304,2001-05-01,191.500,,116.97817701526300,187.300,3282.2891413451200,0.01,9209684,,,,232.100,,,212.900,4.3,
305,2001-06-01,193.700,,118.07503879528800,188.300,3060.9678709374300,-0.46,9207234,,,,233.200,,,213.200,4.4,
306,2001-07-01,194.300,152.05,119.22319995414200,187.800,4061.5508903246600,-1.91,9212320,,,,234.000,,,213.700,4.7,
307,2001-08-01,194.600,,120.58635593103800,188.100,4015.3176481636100,-2.37,9222395,,,,235.700,,,214.000,4.9,
308,2001-09-01,193.700,,121.98300373494600,188.000,3323.9439234795000,-3.48,9235540,,,,236.500,,,214.700,5.2,
309,2001-10-01,193.100,155.04,123.09495809340200,187.800,3796.0398941464400,-3.87,9250687,,,,238.200,,,215.100,5.5,
310,2001-11-01,194.100,,124.40453630579000,187.800,4184.8421913819800,-2.17,9266787,,,,240.800,,,216.600,5.8,
311,2001-12-01,194.300,,124.57552701341200,187.300,4018.0281563695700,-1.18,9284604,,,,242.400,,,217.800,6.0,
312,2002-01-01,196.400,159.42,125.38001734688900,188.500,4145.2897313688100,-0.49,9303626,,,,243.400,42019,18590.085,218.400,6.2,962894.133
313,2002-02-01,197.600,,126.09768261165400,189.900,4394.7545829627400,0.30,9320796,,,,245.000,,,219.600,6.3,
