,Date,Consumer Price Index for All Urban Consumers: Housing(CBSA),All-Transactions House Price Index(MSAD),S&P/Case-Shiller NY-New York Home Price Index,Consumer Price Index for All Urban Consumers: All Items(CBSA),"New Private Housing Structures Authorized by Building Permits, Units(MSA)","Economic Conditions Index, percent(MSA)","Civilian Labor Force, persons(MSA)",Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Per Capita Personal Income, Dollars(MSA)","Resident Population, Thousands of Persons, Annual(MSA)",Consumer Price Index for All Urban Consumers: Rent(CBSA),Unemployment Rate(MSA),"Total Gross Domestic Product, Millions of Dollars(MSA)"
314,2002-03-01,199.200,,127.32041244564400,191.100,3102.7507579178600,0.14,9332662,,,,245.700,,,220.700,6.4,
315,2002-04-01,199.200,165.16,128.69280980977400,191.800,3827.1339508463900,0.11,9338380,,,,246.200,,,221.000,6.4,
316,2002-05-01,198.700,,130.48467029637100,191.400,4894.3618221706000,0.27,9339709,,,,247.000,,,222.100,6.4,
317,2002-06-01,200.100,,132.49558050877900,191.500,3929.2499592432700,0.11,9339622,,,,248.100,,,222.700,6.3,
318,2002-07-01,200.800,170.64,134.85443853673600,192.000,4889.0824524414100,0.57,9339891,,,,249.900,,,223.400,6.3,
319,2002-08-01,201.900,,137.00335589589700,193.100,3779.8015163025400,0.74,9342845,,,,250.600,,,224.100,6.3,
320,2002-09-01,201.100,,138.82669807196900,193.300,4248.4614843417300,0.39,9349888,,,,251.700,,,224.700,6.3,
321,2002-10-01,201.900,174.24,140.80189604077600,193.700,4102.5726684294000,0.23,9357855,,,,253.600,,,226.300,6.4,
322,2002-11-01,201.000,,142.84376790816800,193.400,3431.5631154583100,0.02,9364505,,,,254.200,,,227.100,6.5,
323,2002-12-01,200.800,,144.91409686949400,193.100,3997.3386639616300,-0.08,9367042,,,,254.600,,,227.800,6.5,
324,2003-01-01,204.600,177.89,146.63931112129800,194.700,3474.0644974663300,-0.04,9365320,,,,256.200,42411,18671.320,229.000,6.5,983163.120
