,Date,Consumer Price Index for All Urban Consumers: Rent(CBSA),All-Transactions House Price Index(MSAD),New Private Housing Units Authorized by Building Permits: 1-Unit Structures(MSA),Consumer Price Index for All Urban Consumers: housing(CBSA),Consumer Price Index for All Urban Consumers: All items(CBSA),Economic Conditions Index(MSA),"Total Gross Domestic Product for Dallas,Millions of Dollars(MSA)",S&P/Case-Shiller TX-Dallas Home Price Index,Mortgage debt-percent with debt,Median debt(inflation adjusted),Percent with Severely Delinquent Debt,Consumer Price Index for All Urban Consumers: Owners Equivalent Rent(CBSA),"Civilian Labor Force in Dallas,persons(MSA)","Per Capita Personal Income,persons,Dollars, Annual(MSA)","Resident Population, Thousands of Persons, Annual(MSA)","Unemployment Rate, percent(MSA)"
300,1988-11-01,109.900,,1175.4927635224700,,,,,,,,,,,,,
301,1988-12-01,110.100,,1398.0233616019000,109.200,117.200,,,,,,,,,,,
302,1989-01-01,109.300,93.57,1232.6598842543500,,,,,,,,,120.400,,19561,,
303,1989-02-01,108.600,,1093.9014950673100,110.300,117.500,,,,,,,,,,,
304,1989-03-01,109.900,,1171.5173252506700,,,,,,,,,,,,,
305,1989-04-01,109.900,93.91,1163.4253470677600,109.700,118.700,,,,,,,,,,,
306,1989-05-01,110.600,,1071.1413712248200,,,,,,,,,,,,,
307,1989-06-01,110.000,,1073.3461497993200,112.400,120.000,,,,,,,,,,,
308,1989-07-01,109.000,95.58,1136.0956886945400,,,,,,,,,,,,,
309,1989-08-01,109.900,,1190.9134627679000,112.900,120.000,,,,,,,,,,,
310,1989-09-01,109.800,,1113.3169310292200,,,,,,,,,,,,,
311,1989-10-01,110.900,95.05,1145.7897459161000,113.700,121.400,,,,,,,,,,,
312,1989-11-01,110.900,,1230.5192671478200,,,,,,,,,,,,,
313,1989-12-01,111.100,,1138.3894225953700,111.200,120.500,,,,,,,,,,,
314,1990-01-01,111.200,94.37,1369.2998760208300,,,,,,,,,123.900,2256128,20667,,4.9
315,1990-02-01,112.500,,1138.0245447284600,111.600,122.200,1.33,,,,,,,2272656,,,5.2
316,1990-03-01,112.300,,1181.3008311635100,,,1.68,,,,,,,2276608,,,4.7
317,1990-04-01,112.500,94.95,1115.5071309130000,112.200,122.900,1.64,,,,,,,2281472,,,4.8
318,1990-05-01,112.200,,1252.6706310703600,,,2.32,,,,,,,2295931,,,5.2
319,1990-06-01,113.300,,1281.6264574353000,114.000,123.800,3.31,,,,,,,2329879,,,5.5
320,1990-07-01,114.200,95.14,1183.4031527462600,,,3.50,,,,,,,2340188,,,5.4
321,1990-08-01,113.400,,1248.8113025254000,116.100,126.000,3.57,,,,,,,2322305,,,5.1
322,1990-09-01,115.100,,1130.0685861248900,,,2.74,,,,,,,2310682,,,5.3
323,1990-10-01,116.300,94.42,1167.7838900554400,118.300,129.500,2.28,,,,,,,2310853,,,4.9
324,1990-11-01,116.500,,1107.6178103940800,,,1.79,,,,,,,2315571,,,5.4
325,1990-12-01,116.800,,1031.4732943081400,114.800,128.400,1.33,,,,,,,2313064,,,5.1
326,1991-01-01,116.900,95.62,1034.8805668104600,,,0.48,,,,,,128.500,2278592,20911,,5.5
327,1991-02-01,118.300,,1196.3291028771900,116.800,129.400,-0.11,,,,,,,2288671,,,6.1
328,1991-03-01,117.200,,1105.5076531915500,,,-0.12,,,,,,,2298330,,,6.2
329,1991-04-01,118.300,96.18,1297.5803858531300,117.100,129.500,-0.25,,,,,,,2318639,,,6.0
330,1991-05-01,118.100,,1403.1551917175400,,,0.35,,,,,,,2320075,,,6.4
331,1991-06-01,118.500,,1151.6254949658900,117.800,130.100,0.63,,,,,,,2362277,,,6.9
332,1991-07-01,119.500,95.53,1484.7903599870300,,,0.90,,,,,,,2372401,,,6.6
333,1991-08-01,118.800,,1303.6575943516100,119.100,131.100,1.20,,,,,,,2344359,,,6.5
334,1991-09-01,119.800,,1268.0025721691600,,,1.22,,,,,,,2344878,,,6.5
335,1991-10-01,119.800,97.19,1476.8990107800700,121.900,133.600,1.15,,,,,,,2345207,,,6.5
336,1991-11-01,120.300,,1342.7059807642400,,,1.25,,,,,,,2341357,,,6.5
337,1991-12-01,120.500,,1339.1747997487200,120.300,132.000,1.17,,,,,,,2335248,,,6.4
338,1992-01-01,121.100,98.43,1647.7859278581400,,,1.48,,,,,,130.900,2328675,22021,,7.2
339,1992-02-01,120.700,,1837.1179227066500,118.400,132.400,1.69,,,,,,,2328271,,,7.2
340,1992-03-01,120.400,,1616.0321245685300,,,1.98,,,,,,,2337601,,,6.9
341,1992-04-01,120.100,97.51,1542.0638363184600,119.000,132.500,2.58,,,,,,,2352227,,,6.8
342,1992-05-01,120.300,,1451.6135817632100,,,2.55,,,,,,,2360589,,,6.9
343,1992-06-01,121.100,,1515.5674795482900,123.900,134.200,2.25,,,,,,,2402076,,,7.6
344,1992-07-01,121.100,99.13,1663.7584827552700,,,2.80,,,,,,,2411371,,,7.1
345,1992-08-01,122.500,,1597.7239698047400,124.900,134.400,2.69,,,,,,,2394638,,,6.9
346,1992-09-01,121.400,,1843.7974892177900,,,3.25,,,,,,,2378879,,,6.9
347,1992-10-01,121.400,99.24,1795.1427082932800,123.200,136.100,4.00,,,,,,,2374011,,,6.5
